2022-02-23 23:12:36.491111 > 	Starting compilation of PauliZ101
2022-02-23 23:12:43.686151 > 	Popped a node with score: 0.11065761328872648 at depth: 6
2022-02-23 23:12:43.686215 > 	Popped a node with score: 0.0189332949052754 at depth: 7
2022-02-23 23:12:43.686276 > 	Popped a node with score: 0.01893329499372176 at depth: 7
2022-02-23 23:12:43.686336 > 	Popped a node with score: 0.029468296869606836 at depth: 7
2022-02-23 23:12:43.686395 > 	Popped a node with score: 0.029468296870902133 at depth: 7
2022-02-23 23:12:43.686455 > 	Popped a node with score: 0.029468296888549794 at depth: 7
2022-02-23 23:12:43.686513 > 	Popped a node with score: 0.029468296898016888 at depth: 7
2022-02-23 23:12:43.686571 > 	Popped a node with score: 0.02946829690927033 at depth: 7
2022-02-23 23:12:43.686628 > 	Popped a node with score: 0.029468296913813585 at depth: 7
2022-02-23 23:12:43.686686 > 	Popped a node with score: 0.029468296916076553 at depth: 7
2022-02-23 23:12:43.686743 > 	Popped a node with score: 0.029468296920939885 at depth: 7
2022-02-23 23:12:43.686800 > 	Popped a node with score: 0.029468296931201676 at depth: 7
2022-02-23 23:12:43.686857 > 	Popped a node with score: 0.029468296949619832 at depth: 7
2022-02-23 23:12:43.686914 > 	Popped a node with score: 0.029468296981687403 at depth: 7
2022-02-23 23:12:43.686991 > 	Popped a node with score: 0.029468297999811877 at depth: 7
2022-02-23 23:12:43.687054 > 	Popped a node with score: 0.1373790807140578 at depth: 6
2022-02-23 23:12:43.687112 > 	Popped a node with score: 0.1373790808432911 at depth: 6
2022-02-23 23:12:43.687168 > 	Popped a node with score: 0.13737908102703833 at depth: 6
2022-02-23 23:12:43.687225 > 	Popped a node with score: 0.13765293404825696 at depth: 6
2022-02-23 23:12:43.687287 > 	Popped a node with score: 0.040206384546790264 at depth: 7
2022-02-23 23:12:43.687344 > 	Popped a node with score: 0.040206384737336176 at depth: 7
2022-02-23 23:12:43.687414 > 	Popped a node with score: 0.141183503669839 at depth: 6
2022-02-23 23:12:43.687472 > 	Popped a node with score: 0.0431650269714795 at depth: 7
2022-02-23 23:12:43.687528 > 	Popped a node with score: 0.04316502700974767 at depth: 7
2022-02-23 23:12:43.687584 > 	Popped a node with score: 0.04316502727979388 at depth: 7
2022-02-23 23:12:44.233900 > 	New best! score: 2.220446049250313e-16 at depth: 8
2022-02-23 23:12:44.442985 > 	New best! score: 0.0 at depth: 8
2022-02-23 23:12:45.105168 > 	Layer completed after 1.417419746518135 seconds
2022-02-23 23:12:45.195466 > 	Finished compilation at depth 8 with score 0.0 after 8.704083416610956 seconds.
2022-02-23 23:12:45.197252 > 	Finished compilation of PauliZ101
2022-02-23 23:12:45.202714 > 	Recorded results from compilation.
2022-02-23 23:12:45.203162 > 	Deleted checkpoint file.
